text,label_slot,label_intent
baltimore'dan dallas'a gidiş dönüş uçmak istiyorum,B-fromloc.city_name B-toloc.city_name B-round_trip I-round_trip O O,flight
baltimore'dan philadelphia'ya gidiş dönüş ücretleri 1000 dolardan az denver'dan philadelphia'ya gidiş dönüş ücretleri 1000 dolardan az pittsburgh'den philadelphia'ya gidiş dönüş ücretleri 1000 dolardan az,B-fromloc.city_name B-toloc.city_name B-round_trip I-round_trip O B-fare_amount I-fare_amount B-cost_relative B-fromloc.city_name B-toloc.city_name B-round_trip I-round_trip O B-fare_amount I-fare_amount B-cost_relative B-fromloc.city_name B-toloc.city_name B-round_trip I-round_trip O B-fare_amount I-fare_amount B-cost_relative,airfare
bana on dört haziranda baltimore'a varan uçuşları göster,O B-arrive_date.day_number I-arrive_date.day_number B-arrive_date.month_name B-toloc.city_name O O O,flight
san francisco'dan indianapolis üzerinden washington'a uçan ve akşam 9'a kadar varan uçuşlar nelerdir,B-fromloc.city_name I-fromloc.city_name B-stoploc.city_name O B-toloc.city_name O O B-arrive_time.time I-arrive_time.time B-arrive_time.time_relative O O O,flight
hangi havayolları diğer şehirler üzerinden boston'dan washington dc'ye uçuyor,O O O O O B-fromloc.city_name B-toloc.city_name B-toloc.state_code O,airline
charlotte'tan las vegas'a st louis'de duran bir uçuş bakıyorum umarım bir akşam yemeği olan nasıl öğrenebilirim,B-fromloc.city_name B-toloc.city_name I-toloc.city_name B-stoploc.city_name I-stoploc.city_name O O O O O O B-meal_description I-meal_description O O O,flight
tamam ve sonra pittsburgh'dan 4 eylül'de atlanta'ya seyahat etmek istiyorum,O O O B-fromloc.city_name B-depart_date.day_number B-depart_date.month_name B-toloc.city_name O O O,flight
bana philadelphia cincinnati arasındaki tüm uçuşları göster,O B-fromloc.city_name B-toloc.city_name O O O O,flight
tamam öğleden sonra indianapolis'ten san diego'ya bir us air uçuş istiyorum,O B-depart_time.period_of_day I-depart_time.period_of_day B-fromloc.city_name B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name O O,flight
salı günü hangi uçuşlar phoenix'i st paul minnesota ve öğleden sonra ayrıl,B-depart_date.day_name O O O B-fromloc.city_name B-toloc.city_name I-toloc.city_name B-toloc.state_name O B-depart_time.time B-depart_time.time_relative O,flight
chicago los angeles sabah amerikan uçuşları,B-fromloc.city_name B-toloc.city_name I-toloc.city_name B-depart_time.period_of_day B-airline_name O,flight
san francisco havaalanına ne tür kara taşımacılığı var,B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name O O O O O,ground_service
önümüzdeki iki gün içinde nashville'den san jose'a veya tacoma'ya uçmak istiyorum,B-depart_date.date_relative O O O B-fromloc.city_name B-toloc.city_name I-toloc.city_name B-or B-toloc.city_name O O,flight
kıta havayolları denver'dan san francisco'ya uçuyor mu,B-airline_name I-airline_name B-fromloc.city_name B-toloc.city_name I-toloc.city_name O O,flight
chicago'dan milwaukee'ye,B-fromloc.city_name B-toloc.city_name,flight
twa'nın business class'ta kaç uçuşu var,B-airline_code B-class_type I-class_type O O O,quantity
bana birinci sınıfta dallas'tan baltimore'a uçuşları göster,O B-class_type I-class_type B-fromloc.city_name B-toloc.city_name O O,flight
boston'dan philadelphia'ya en ucuz tek yön bileti bulmak istiyorum,B-fromloc.city_name B-toloc.city_name B-cost_relative I-cost_relative B-round_trip I-round_trip O O O,airfare
kaç tane rezervasyon sınıfı var,O O O O O,quantity
on dokuzuncu çarşamba günü tacoma'dan san jose'a uçuşlar nelerdir,B-depart_date.day_number I-depart_date.day_number B-depart_date.day_name I-depart_date.day_name B-fromloc.city_name B-toloc.city_name I-toloc.city_name O O,flight
hangi uçuşlar pittsburgh'dan beş temmuz akşam 7'den sonra ayrılıyor ve san francisco'ya varıyor,O O B-fromloc.city_name B-depart_date.day_number B-depart_date.month_name B-depart_time.time B-depart_time.time B-depart_time.time_relative O O B-toloc.city_name I-toloc.city_name O,flight
lütfen general mitchell international'dan gelen ve giden tüm uçuşları listeleyin,O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O O O O O,flight
denver hangi saat diliminde,B-city_name O O O,city
bana boston ve baltimore'daki kara taşımacılığını göster,O B-city_name O B-city_name O O O,ground_service
baltimore'dan boston'a yemek servisi yapan ilk uçuşu bulmak istiyorum,B-fromloc.city_name B-toloc.city_name B-meal O O B-flight_mod O O O,flight
seattle'dan salt lake city'e,B-fromloc.city_name B-toloc.city_name I-toloc.city_name I-toloc.city_name,flight
dallas baltimore uçuşlarını ekonomik ücretlerle gösterebilir misin,B-fromloc.city_name B-toloc.city_name O B-economy O O O,flight
phoenix'ten hangi uçuşlar kalkıyor,B-fromloc.city_name O O O,flight
pittsburgh denver uçuşları nelerdir,B-fromloc.city_name B-toloc.city_name O O,flight
miami'den cleveland'a kalkan uçuşları göster on us air on öğleden sonra kalkan,B-fromloc.city_name B-toloc.city_name O O O O B-airline_name I-airline_name O B-depart_time.time B-depart_time.time_relative O,flight
lütfen bana dallas ve baltimore arasındaki tüm uçuşların ve ücretlerinin bir listesini verin,O O B-fromloc.city_name O B-toloc.city_name O O O O O O O O,flight+airfare
ücret kodu y ne anlama geliyor,O O B-fare_basis_code O O B-fare_basis_code,abbreviation
phoenix'te kara taşımacılığı,B-city_name O O,ground_service
tamam bana united airlines'ın dallas'tan san francisco'ya hangi uçuşu bıraktığını söyleyebilir misin,O O B-airline_name I-airline_name B-fromloc.city_name B-toloc.city_name I-toloc.city_name O O O O O,flight
gelecek çarşamba denver'dan san francisco'ya öğleden sonra kalkan tüm uçuşları göster,B-depart_date.date_relative B-depart_date.day_name B-fromloc.city_name B-toloc.city_name I-toloc.city_name B-depart_time.time B-depart_time.time_relative O O O O,flight
atlanta'dan san francisco'ya denver'da duran bir uçuş var mı,B-fromloc.city_name B-toloc.city_name I-toloc.city_name B-stoploc.city_name O O O O O,flight
amerikan havayolları için atlanta'daki kalkışları ve varışları göster,B-airline_name I-airline_name O B-city_name O O O O,flight
bana aynı gün içinde boston'dan atlanta'ya en erken uçuşu ve atlanta'dan boston'a en son dönüşü bul,O B-depart_date.date_relative O O B-toloc.city_name B-fromloc.city_name B-flight_mod I-flight_mod O O B-fromloc.city_name B-toloc.city_name B-flight_mod B-flight_mod O O,flight
milwaukee'den orlando'ya çarşamba akşamı veya perşembe sabahı uçmak istiyorum,B-fromloc.city_name B-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day B-or B-depart_date.day_name B-depart_time.period_of_day O O,flight
denver çıkışlı her iki sırada da pittsburgh ve atlanta'ya giden bir uçuş istiyorum,B-fromloc.city_name O O O O O B-toloc.city_name O B-toloc.city_name O O O O,flight
bana dallas'tan atlanta'ya uçuşları göster,O B-fromloc.city_name B-toloc.city_name O O,flight
denver'den san francisco'ya hangi uçuşlar mevcut,B-fromloc.city_name B-toloc.city_name I-toloc.city_name O O O,flight
boston denver uçak bileti ne kadar,B-fromloc.city_name B-toloc.city_name O O O O,airfare
bana san jose'den pittsburgh'a atıştırmalık servisi olan en erken uçuşu göster,O B-fromloc.city_name I-fromloc.city_name B-toloc.city_name B-meal_description O O B-flight_mod I-flight_mod O O,flight
denver'dan atlanta'ya gidiş dönüş ücretini verir misin lütfen,B-fromloc.city_name B-toloc.city_name B-round_trip I-round_trip O O O O,airfare
645'te boston'dan washington'a giden bir uçuşunuz var mı,B-depart_time.time B-fromloc.city_name B-toloc.city_name O O O O O,flight
atlanta'nın havaalanına tüm uçuşlar nelerdir,B-toloc.city_name O O O O,flight
bana cuma günü atlanta'dan denver'a uçuşları göster,O B-depart_date.day_name O B-fromloc.city_name B-toloc.city_name O O,flight
ücret kodu qx ne anlama geliyor,O O B-fare_basis_code O O O,abbreviation
washington'dan philadelphia'ya twa uçuşları hakkında bilgi istiyorum,B-fromloc.city_name B-toloc.city_name B-airline_code O O O O,flight
hangi havayolları boston'dan washington dc'ye uçuyor ancak başka bir şehirde mola veriyor,O O B-fromloc.city_name B-toloc.city_name B-toloc.state_code O O O O O O O,airline
oakland'da kara taşımacılığı,B-city_name O O,ground_service
birleşik havayollarında san francisco'dan denver'a tüm öğleden sonra uçuşlarını listele,B-airline_name I-airline_name B-fromloc.city_name I-fromloc.city_name B-toloc.city_name O B-depart_time.period_of_day I-depart_time.period_of_day O O,flight
pazartesi günü san francisco'dan pittsburgh'a tüm uçuşları göster,B-depart_date.day_name I-depart_date.day_name B-fromloc.city_name I-fromloc.city_name B-toloc.city_name O O O,flight
boston'dan denver'a en son uçuş nedir,B-fromloc.city_name B-toloc.city_name B-flight_mod B-flight_mod O O,flight
tamam cleveland'dan dallas'a uçuşta kullanılan uçak tipini bilmek istiyorum lütfen,O B-fromloc.city_name B-toloc.city_name O O O O O O O,aircraft
lütfen bana ayın yirmi sekizinde las vegas'tan detroit'e uçuşları göster,O O O B-depart_date.day_number I-depart_date.day_number B-fromloc.city_name I-fromloc.city_name B-toloc.city_name O O,flight
hangi havayolları st petersburg'dan milwaukee'ye ve milwaukee'den tacoma'ya,O O B-fromloc.city_name I-fromloc.city_name B-fromloc.city_name O B-fromloc.city_name B-toloc.city_name,airline
boston'da başlayan ve dallas fort worth'a inen bir uçağa binmek istiyorum ama philadelphia'ya uğramak istiyorum,B-fromloc.city_name O O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O O O O O B-stoploc.city_name O O,flight
united airlines'ın yarınki en erken uçuşunu bana st petersburg'dan milwaukee'ye,B-airline_name I-airline_name B-depart_date.today_relative B-flight_mod I-flight_mod O O B-fromloc.city_name I-fromloc.city_name B-toloc.city_name,flight
denver'dan milwaukee'ye amerikan havayolları,B-fromloc.city_name B-toloc.city_name B-airline_name I-airline_name,flight
boston'dan washington'a öğlen saatlerinde hangi uçuş var boston'dan washington'a yaklaşık öğle saatlerinde hangi uçuş mevcut,B-fromloc.city_name B-toloc.city_name B-depart_time.time I-depart_time.time O O O B-fromloc.city_name B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time O O O,flight
philadelphia'dan boston'a dönüş uçuşuna ihtiyacım var,B-fromloc.city_name B-toloc.city_name O O O O,flight
denver'da duraklı kuzeybatı uçuşları,B-stoploc.city_name O B-airline_name O,flight
baltimore'dan dallas'a birinci sınıf bilet ücreti nedir,B-fromloc.city_name B-toloc.city_name B-class_type I-class_type O O O,airfare
bana toronto'dan san diego'ya uçan havayollarını söyler misin,O B-fromloc.city_name B-toloc.city_name I-toloc.city_name O O O O,airline
otuz haziranda memphis'ten cincinnati'ye en erken uçuş ne zaman,B-depart_date.day_number B-depart_date.month_name B-fromloc.city_name B-toloc.city_name B-flight_mod I-flight_mod O O O,flight
